text,label
SHOCKING: time travel revealed - experts shocked,1
BREAKING: free energy discovered - scientists stunned,1
Study shows healthcare access improves environment,0
Miracle government conspiracy cures cancer,1
Ancient free energy predicts alien invasion,1
Ancient mind control predicts alien invasion,1
BREAKING: time travel discovered - scientists stunned,1
Ancient government conspiracy predicts alien invasion,1
Ancient mind control predicts economic collapse,1
Government hiding government conspiracy,1
SHOCKING: secret society revealed - doctors amazed,1
Study shows environmental protection improves environment,0
Miracle miracle cure cures cancer,1
Miracle free energy cures cancer,1
SHOCKING: government conspiracy revealed - scientists stunned,1
Study shows technology innovation improves education,0
Ancient alien technology predicts alien invasion,1
Study shows technology innovation improves environment,0
Ancient secret society predicts natural disaster,1
Ancient miracle cure predicts world war 3,1
Ancient alien technology predicts world war 3,1
BREAKING: government conspiracy discovered - doctors amazed,1
BREAKING: alien technology discovered - experts shocked,1
Miracle secret society cures obesity,1
Ancient government conspiracy predicts natural disaster,1
Ancient government conspiracy predicts world war 3,1
Study shows environmental protection improves health,0
BREAKING: government conspiracy discovered - experts shocked,1
Study shows healthcare access improves safety,0
Study shows education reform improves environment,0
Study shows environmental protection improves education,0
Miracle alien technology cures diabetes,1
Miracle time travel cures obesity,1
SHOCKING: time travel revealed - scientists stunned,1
Research confirms technology innovation benefits urban areas,0
Study shows economic growth improves education,0
New education policy focuses on digital literacy,0
Ancient time travel predicts world war 3,1
BREAKING: mind control discovered - doctors amazed,1
Ancient miracle cure predicts natural disaster,1
Miracle time travel cures diabetes,1
Scientists discover new planet that could support human life,0
Miracle secret society cures cancer,1
City council approves new public transportation plan,0
SHOCKING: free energy revealed - scientists stunned,1
BREAKING: mind control discovered - experts shocked,1
Miracle time travel cures cancer,1
Miracle secret society cures heart disease,1
Miracle miracle cure cures heart disease,1
Ancient alien technology predicts economic collapse,1
Moon landing was faked - new evidence surfaces,1
Miracle alien technology cures obesity,1
"Drinking bleach cures COVID-19, according to leaked documents",1
Government announces free money for all citizens starting next week,1
BREAKING: free energy discovered - doctors amazed,1
Research shows benefits of regular exercise for mental health,0
Miracle mind control cures cancer,1
Local community raises funds for new public library,0
Technology company reports strong quarterly earnings,0
Company announces 4-day work week for all employees,0
Stock market reaches all-time high amid economic recovery,0
Free iPhone 15 for everyone who shares this post,1
Ancient free energy predicts economic collapse,1
World ending in 2024 - prophet makes shocking prediction,1
Miracle cure for COVID-19 discovered in remote village - doctors amazed!,1
BREAKING: Alien invasion reported in New York! Government confirms extraterrestrial presence!,1
School district implements new STEM curriculumBCCI sources said,0
